datetime,symbol,exchange,interval,datetime,open,high,low,close,volume,turnover,transaction,open_interest,ZigZag,ZigZag_Change,淨值比,淨值比最大值,淨值比最小值,淨值,每股盈餘,每股盈餘_TTM,每股盈餘_TTM_YoY,每股盈餘_TTM_Change,每股盈餘_YTD_YoY,本益比,本益比最大值,本益比最小值
2004-02-11,2330,twse,d,2004-02-11,64.5,64.5,63.5,64.0,18589704,0.0,4055,0,63.5,,,,,,,,,,,,,
2004-02-12,2330,twse,d,2004-02-12,64.0,65.0,64.0,64.5,48648900,0.0,6758,0,,,,,,,,,,,,,,
2004-02-13,2330,twse,d,2004-02-13,64.5,64.5,63.5,64.0,28300096,0.0,4475,0,,,,,,,,,,,,,,
2004-02-16,2330,twse,d,2004-02-16,64.0,64.0,62.5,62.5,43881575,0.0,11350,0,,,,,,,,,,,,,,
2004-02-17,2330,twse,d,2004-02-17,62.5,63.5,62.5,62.5,31506459,0.0,6499,0,,,,,,,,,,,,,,
2004-02-18,2330,twse,d,2004-02-18,63.5,64.0,63.0,63.0,49333172,0.0,8693,0,,,,,,,,,,,,,,
2004-02-19,2330,twse,d,2004-02-19,63.5,64.0,63.0,63.5,43716904,0.0,6900,0,,,,,,,,,,,,,,
2004-02-20,2330,twse,d,2004-02-20,63.5,64.0,63.0,63.5,52626711,0.0,8996,0,,,,,,,,,,,,,,
2004-02-23,2330,twse,d,2004-02-23,63.0,63.5,62.0,62.5,47834137,0.0,10927,0,,,,,,,,,,,,,,
2004-02-24,2330,twse,d,2004-02-24,62.0,62.5,61.5,61.5,41912442,0.0,10382,0,,,,,,,,,,,,,,
2004-02-25,2330,twse,d,2004-02-25,62.0,62.5,61.5,61.5,40958691,0.0,8990,0,,,,,,,,,,,,,,
2004-02-26,2330,twse,d,2004-02-26,62.5,63.5,62.0,63.5,43758113,0.0,8544,0,,,,,,,,,,,,,,
2004-02-27,2330,twse,d,2004-02-27,63.5,63.5,62.5,63.5,36981699,0.0,7216,0,,,,,,,,,,,,,,
2004-03-01,2330,twse,d,2004-03-01,63.5,64.5,63.0,64.5,51922920,0.0,12224,0,,,,,,,,,,,,,,
2004-03-02,2330,twse,d,2004-03-02,65.5,67.0,65.0,67.0,99499047,0.0,25453,0,,,,,,,,,,,,,,
2004-03-03,2330,twse,d,2004-03-03,67.0,67.5,65.5,66.0,57895863,0.0,11406,0,,,,,,,,,,,,,,
2004-03-04,2330,twse,d,2004-03-04,66.0,67.5,65.5,67.0,74938381,0.0,14238,0,,,,,,,,,,,,,,
2004-03-05,2330,twse,d,2004-03-05,68.0,68.5,67.0,67.0,85571751,0.0,18557,0,68.5,0.07874015748031504,,,,,,,,,,,,
2004-03-08,2330,twse,d,2004-03-08,66.0,67.5,66.0,66.0,40894007,0.0,7737,0,,,,,,,,,,,,,,
2004-03-09,2330,twse,d,2004-03-09,65.0,66.0,64.5,65.5,36685082,0.0,6553,0,,,,,,,,,,,,,,
2004-03-10,2330,twse,d,2004-03-10,65.0,65.0,63.0,63.0,87607498,0.0,18128,0,,,,,,,,,,,,,,
2004-03-11,2330,twse,d,2004-03-11,62.0,64.0,62.0,63.5,49805805,0.0,10459,0,,,,,,,,,,,,,,
2004-03-12,2330,twse,d,2004-03-12,62.5,63.0,62.0,62.0,83702154,0.0,18207,0,,,,,,,,,,,,,,
2004-03-15,2330,twse,d,2004-03-15,63.0,63.5,61.0,61.0,44373901,0.0,10386,0,,,,,,,,,,,,,,
2004-03-16,2330,twse,d,2004-03-16,61.5,61.5,60.0,60.5,62170477,0.0,12607,0,,,,,,,,,,,,,,
2004-03-17,2330,twse,d,2004-03-17,61.0,61.5,60.0,60.5,65710824,0.0,11599,0,,,,,,,,,,,,,,
2004-03-18,2330,twse,d,2004-03-18,60.0,62.5,60.0,62.0,112049329,0.0,14165,0,,,,,,,,,,,,,,
2004-03-19,2330,twse,d,2004-03-19,62.0,63.0,61.5,63.0,36937953,0.0,8049,0,,,,,,,,,,,,,,
2004-03-22,2330,twse,d,2004-03-22,59.0,59.0,59.0,59.0,10805195,0.0,3875,0,,,,,,,,,,,,,,
2004-03-23,2330,twse,d,2004-03-23,55.0,57.0,55.0,55.0,248568056,0.0,41914,0,55.0,-0.1970802919708029,,,,,,,,,,,,
2004-03-24,2330,twse,d,2004-03-24,58.5,58.5,57.0,58.0,140894555,0.0,22626,0,,,,,,,,,,,,,,
2004-03-25,2330,twse,d,2004-03-25,59.0,59.0,57.5,58.0,73067144,0.0,11503,0,,,,,,,,,,,,,,
2004-03-26,2330,twse,d,2004-03-26,59.0,59.5,58.0,58.5,47082580,0.0,9448,0,,,,,,,,,,,,,,
2004-03-29,2330,twse,d,2004-03-29,60.0,61.5,59.5,61.5,46397946,0.0,11365,0,,,,,,,,,,,,,,
2004-03-30,2330,twse,d,2004-03-30,61.0,61.5,60.0,60.0,43252745,0.0,8235,0,,,,,,,,,,,,,,
2004-03-31,2330,twse,d,2004-03-31,60.5,61.0,59.5,60.0,33573712,0.0,7855,0,,,,,,,,,,,,,,
2004-04-01,2330,twse,d,2004-04-01,59.5,60.0,59.0,59.5,37887217,0.0,7884,0,,,,,,,,,,,,,,
2004-04-02,2330,twse,d,2004-04-02,59.5,60.0,58.5,59.5,33976469,0.0,7488,0,,,,,,,,,,,,,,
2004-04-05,2330,twse,d,2004-04-05,61.0,62.0,60.0,62.0,59968347,0.0,13678,0,,,,,,,,,,,,,,
2004-04-06,2330,twse,d,2004-04-06,62.5,62.5,61.0,62.0,47067612,0.0,8605,0,,,,,,,,,,,,,,
2004-04-07,2330,twse,d,2004-04-07,61.5,62.0,61.0,61.5,15852178,0.0,4951,0,,,,,,,,,,,,,,
2004-04-08,2330,twse,d,2004-04-08,61.0,61.5,60.5,61.0,28086105,0.0,5333,0,,,,,,,,,,,,,,
2004-04-09,2330,twse,d,2004-04-09,60.5,61.0,60.0,60.0,18475329,0.0,5053,0,,,,,,,,,,,,,,
2004-04-12,2330,twse,d,2004-04-12,60.5,62.0,60.5,61.0,30547936,0.0,5781,0,,,,,,,,,,,,,,
2004-04-13,2330,twse,d,2004-04-13,61.5,62.0,60.0,60.5,29976247,0.0,7327,0,,,,,,,,,,,,,,
2004-04-14,2330,twse,d,2004-04-14,60.5,63.5,60.0,63.0,63266471,0.0,16120,0,,,,,,,,,,,,,,
